dgn ;dengan
mantab;mantap
komplen;ngeluh
bikin;buat
terkece;keren
clean;bersih
des;desember
skrng;sekarang
bkn;bikin
and;dan
asyik;asik
ramaah;ramah
modern;moderen
sure;tentu
like;suka
krn;karena
steril;bersih
staycatio;nginap
rekomend;rekomendasi
oriented;terorientasi
bai;baik
kerennn;keren
bget;banget
meeting;rapat
mm;pusat perbelanjaan malioboro
chef;juru masak
kentang;jelek
keliatan;kelihatan
comfy;nyaman
bagtt;banget
termantoel;mantap
recom;rekomendasi
kluarga;keluarga
bgtt;banget
jossss;mantap
gede;besar
servis;pelayanan
jos;mantap
enakkkpol;enak banget
skrng;sekarang
mahallll;mahal
hiling;liburan
street;jalan
prokes;protokol kesehatan
ad;ada
bnyk;banyak
destinasy;tujuan
ckup;cukup
manaa;mana
fast;cepat
temen;teman
muter;mutar
pt;perusahaan
negri;negeri
cecek;nama makanan
org;orang
solo;sendiri
untuj;untuk
sweet;bagus
sepelemparan;dekat banget
type;tipe
wall;dinding
arogan;sombong
fasad;tampilan
dsb;dan sebagai
bgtt;banget
vintage;zaman dulu
nyesel;nyesal
ckup ;cukup
love;suka
bangeett;banget
bbrp;beberapa
jadii;jadi
bangettt;banget
sgt;sangat
hy;hanya
all;semua
bersihh ;bersih
singgahi;mampir
enakkk;enak
overal;seluruh
everall;seluruh
gwud;bagus
boking;pesan
mm;pusat perbelanjaan malioboro
gituh;gitu
ekonomis;hemat
ntar;nanti
peekdays;tengah pekan
ketersediaab;ketersediaan
bbrp ;sebagian
owner;pemilik
disiniii;disini
bgtt;banget
sfat;karyawan
folowupnya;kerjaan
followup;kerjaan
bobo;tidur
enaaaak;enak
mantappp;mantap
design;desain
asian;asia
western;barat
tradional;tradisional
trip;jalan
pak;karyawan
assist;membantu
luaaas;luas
asip;air susu ibu perah
freezer;ruang pembeku
htl;hotel
mbl ;mobil
pnting;penting
ramaahh;ramah
mantappp;mantap
langganan;pelanggan
dkt;dekat
gede;besar
jom;ayo
and;dan
haruss;harus
d;dimensi
souvenir;kenangan
php;tidak terjadi
lagiiii;lagi
langka;langkah
bessstt;sangat baik
bangettt;banget
